Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.76,-74.79,90.0,top
C2,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.736,-78.74,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.619,-86.6025,-90.0,top
C4,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.015,-89.629,-90.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,32.004,-72.644,180.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.555,-69.8385,90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.363,-81.544,90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.063,-89.121,-90.0,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.441,-49.5185,90.0,top
C10,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.077,-49.497,90.0,top
C11,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.876,-49.7625,90.0,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.732,-49.784,90.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,24.8705,-37.084,0.0,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.276,-36.068,180.0,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.901,-36.12,0.0,top
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,20.517,-65.245,-90.0,top
C17,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.7045,-91.1745,180.0,top
C18,20pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.683,-66.7905,180.0,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.448,-53.34,180.0,top
C20,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.448,-56.896,180.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.887,-21.336,0.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,14.748,-21.336,180.0,top
H1,MountingHole_Pad,Hole_1.8mm_1.2mm,57.149,-25.4,0.0,top
H2,MountingHole_Pad,Hole_1.8mm_1.2mm,37.149,-25.4,0.0,top
H3,MountingHole_Pad,Hole_1.8mm_1.2mm,17.149,-25.4,0.0,top
IC1,ADP150AUJZ-2.0-R7,SOT95P280X100-5N,51.779,-48.5685,0.0,top
IC2,AP2112K-3.3TRG1,SOT95P282X130-5N,19.304,-48.2385,180.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Horizontal,37.224,-16.9965,90.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Horizontal,19.7335,-78.356,180.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,31.903,-88.6505,90.0,top
R2,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,35.25,-68.5,90.0,top
R3,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,29.363,-76.972,-90.0,top
R4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.908,-32.004,180.0,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.2815,-31.496,0.0,top
R6,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,44.9065,-31.548,180.0,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,16.961,-65.2665,90.0,top
R8,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,46.736,-70.104,90.0,top
R9,70R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.791,-21.336,180.0,top
R10,70R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19.828,-21.336,0.0,top
R11,39R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,41.148,-46.228,0.0,top
S1,D2F-FL,D2FFL,17.149,-35.56,-90.0,top
S2,D2F-FL,D2FFL,57.149,-35.56,-90.0,top
S3,D2F-FL,D2FFL,37.149,-35.56,-90.0,top
SW1,SW_Push,1478731,53.239,-56.144,0.0,top
SW5,SW_Push,1478731,18.695,-56.652,180.0,top
U1,STM32F103RETx,LQFP-64_10x10mm_P0.5mm,38.507,-79.4905,180.0,top
U2,PMW3360DM-T2QU,PMW3360,37.451156,-56.452656,0.0,top
Y1,8MHz,Crystal_SMD_HC49-SD_HandSoldering,51.207,-78.9825,90.0,top
